distinct_id,reg_date,first_pay_time,last_month_total_pay,killer_game_num,killer_game_duration,killer_with_friend_num,friend_num,dia_amount,killer_diamond,gift_amount
91940545,2017-12-29 23:10:00,2020-03-12 15:51:31.573,7594,16,38.759,16,21,75940,,64789
25851120,2018-10-19 23:36:48,2018-10-28 15:23:07.385,10846,25,65.779,25,20,107438,,84654
29846621,2017-02-03 15:07:00,2017-02-04 20:38:18.171,14106,27,124.471,6,19,141127,,2
19769452,2018-02-27 21:59:42,2019-09-24 09:55:05.284,10931,5,34.498,2,21,110037,7,59351
127635244,2020-11-12 18:48:21,2020-11-12 18:53:40.681,3347,144,898.149,24,68,33515,800,2264
27596241,2017-12-21 20:31:07,2018-01-24 22:40:18.879,4230,14,67.506,7,118,41280,,39380
36438760,2017-11-24 23:17:12,2020-04-24 11:06:08.133,7849,102,548.295,38,166,78612,60,58343
105498563,2020-02-10 19:46:53,2020-02-18 22:30:34.729,3309,112,650.357,36,85,33055,25,26875
65545216,2017-06-02 19:00:00,2020-11-17 22:05:29.931,6908,7,23.926,,27,65625,,
14926160,2017-10-23 22:01:00,2018-05-29 19:10:29.668,7560,11,33.200,,16,75014,,13165
80303179,2017-07-12 20:17:00,2018-04-17 08:24:54.189,745,2,8.719,,8,7452,,
75296038,2017-05-08 19:28:00,2019-06-23 03:06:48.95,1848,12,33.274,10,57,18526,,9176
63429495,2019-05-16 15:49:55,2019-06-12 14:59:12.246,2042,982,5879.306,450,26,20447,1788,542
36252319,2017-02-10 20:41:00,2018-05-05 03:04:04.442,12018,33,106.818,32,135,120274,,101898
58008608,2017-01-01 18:47:00,2017-01-02 21:56:40.35,2187,241,1421.953,132,29,21889,974,2335
71111081,2017-02-16 11:25:00,2018-02-22 15:28:03.046,3943,1,4.383,1,20,39361,,1119
16976635,2019-06-28 19:09:44,2019-07-17 11:49:33.807,702,120,344.842,74,48,6857,60,2718
141084269,2020-11-05 21:46:53,2020-11-06 19:37:33.698,2977,30,155.506,30,78,29776,,
118359466,2020-10-07 20:01:56,2020-10-07 20:14:03.427,7296,40,133.713,24,32,73010,,27212
36917615,2017-11-13 17:57:00,2017-11-14 18:38:51.022,13020,38,126.564,3,66,129830,,101325
