1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.361,0.255,0.193,0.144,0.114,0.099,0.096,0.107,0.092,0.087,0.071,0.068,0.069,0.065,0.072,0.078,0.074,0.064,0.063,0.063,0.062,0.065,0.07,0.066,0.06,0.063,0.061,0.062,0.06,0.062
0.386,0.238,0.127,0.102,0.088,0.109,0.125,0.103,0.086,0.053,0.052,0.052,0.052,0.068,0.08,0.071,0.048,0.048,0.048,0.05,0.058,0.067,0.065,0.05,0.051,0.053,0.053,0.057,0.059,0.058
0.375,0.123,0.092,0.08,0.114,0.156,0.125,0.098,0.039,0.038,0.038,0.039,0.055,0.085,0.073,0.036,0.036,0.037,0.038,0.049,0.071,0.065,0.042,0.043,0.045,0.049,0.053,0.06,0.058,0.051
0.234,0.149,0.116,0.143,0.181,0.144,0.117,0.046,0.044,0.042,0.042,0.053,0.081,0.082,0.039,0.038,0.04,0.04,0.048,0.069,0.068,0.042,0.044,0.046,0.05,0.052,0.06,0.059,0.05,0.05
0.35,0.214,0.171,0.16,0.128,0.106,0.082,0.076,0.067,0.066,0.065,0.071,0.069,0.059,0.054,0.057,0.052,0.054,0.059,0.055,0.05,0.047,0.051,0.052,0.048,0.048,0.049,0.046,0.043,0.045
0.328,0.212,0.178,0.142,0.122,0.093,0.084,0.073,0.07,0.071,0.077,0.068,0.055,0.059,0.056,0.054,0.057,0.061,0.059,0.049,0.051,0.05,0.05,0.051,0.054,0.05,0.048,0.047,0.046,0.044
0.333,0.231,0.169,0.135,0.093,0.083,0.078,0.073,0.072,0.08,0.073,0.056,0.052,0.054,0.05,0.055,0.062,0.062,0.047,0.048,0.048,0.049,0.051,0.053,0.053,0.049,0.047,0.049,0.047,0.047
0.37,0.217,0.146,0.074,0.068,0.06,0.056,0.071,0.085,0.072,0.042,0.041,0.042,0.044,0.056,0.067,0.061,0.041,0.042,0.045,0.048,0.052,0.056,0.053,0.049,0.049,0.049,0.049,0.049,0.047
0.364,0.201,0.073,0.062,0.056,0.052,0.067,0.099,0.082,0.037,0.036,0.037,0.038,0.052,0.072,0.067,0.04,0.041,0.045,0.049,0.053,0.063,0.059,0.051,0.05,0.05,0.051,0.051,0.051,0.052
0.36,0.113,0.089,0.073,0.066,0.087,0.126,0.101,0.042,0.04,0.04,0.042,0.056,0.081,0.072,0.044,0.045,0.048,0.05,0.056,0.065,0.062,0.052,0.052,0.052,0.053,0.052,0.054,0.054,0.054
0.235,0.159,0.12,0.101,0.119,0.16,0.129,0.055,0.051,0.052,0.05,0.061,0.087,0.081,0.049,0.05,0.051,0.054,0.058,0.066,0.067,0.056,0.056,0.057,0.054,0.053,0.052,0.054,0.055,0.02
0.377,0.244,0.186,0.156,0.142,0.119,0.091,0.08,0.076,0.069,0.07,0.074,0.068,0.061,0.058,0.057,0.057,0.056,0.057,0.057,0.055,0.053,0.052,0.049,0.05,0.049,0.048,0.049,0.018,
0.374,0.246,0.184,0.164,0.135,0.104,0.095,0.084,0.075,0.073,0.076,0.071,0.061,0.061,0.063,0.06,0.056,0.058,0.056,0.053,0.054,0.053,0.05,0.048,0.048,0.048,0.05,0.02,,
0.38,0.25,0.197,0.158,0.119,0.107,0.094,0.083,0.079,0.081,0.078,0.067,0.063,0.061,0.061,0.058,0.058,0.058,0.052,0.054,0.052,0.05,0.047,0.047,0.049,0.049,0.019,,,
